"","Editd_g","Kill_cd","Distance"
"1",0,1,10648.88453949
"2",14,1,12747.56474212
"3",5,1,11332.78514848
"4",0,1,10018.29554555
"5",6,1,12225.82294808
"6",0,1,7228.72643192
"7",17,1,7633.2517691
"8",5,1,8620.39556816
"9",10,1,9715.15333273
"10",4,2,6696.80420027
"11",2,2,15575.26927778
"12",2,2,15575.26927778
"13",2,2,15575.26927778
"14",99,4,75552.24808852
"15",0,4,66534.58397541
"16",0,4,66534.58397541
"17",7,2,68641.16217899
"18",0,4,20895.61230338
"19",0,4,20895.61230338
"20",5,1,11776.30193171
"21",9,1,34192.81559247
"22",8,1,9171.56454048
"23",5,1,7090.96232533
"24",6,1,7623.53661953
"25",12,1,16358.44503887
"26",1,2,8093.74954779
"27",1,2,8093.74954779
"28",0,2,7416.8534606
"29",11,2,21147.24849281
"30",6,1,23168.46199018
"31",2,1,20998.41627443
"32",0,1,7270.4079238
"33",1,1,18212.29350476
"34",2,1,22664.21794721
"35",21,1,8997.60986123
"36",0,1,11160.29080404
"37",14,1,7623.53661953
"38",0,1,21244.451189
"39",3,2,55367.15567717
"40",22,1,30542.11215248
"41",24,1,9842.15424
"42",6,1,21913.81138444
"43",3,1,45710.98302397
"44",3,1,4898.06259567
"45",2,1,39249.43273704
"46",4,1,11607.68203707
"47",10,1,85358.00762916
"48",7,2,21691.63475483
"49",0,1,8574.29957076
"50",0,1,8574.29957076
"51",0,1,67738.36372079
"52",3,1,58712.67572857
"53",15,1,83994.56938327
"54",6,1,70717.54447079
"55",4,1,83838.35048891
"56",4,1,80547.20607749
"57",5,1,75717.66488634
"58",0,1,64661.9626419
"59",22,1,61757.38604595
"60",0,1,26316.3872243
"61",8,1,72617.04742293
"62",2,1,67690.31636678
"63",7,1,75136.11442327
"64",0,2,68831.26185094
"65",3,1,88170.12031242
"66",0,1,75731.97960094
"67",3,1,23899.14370057
"68",11,1,31441.26914095
"69",8,1,15044.12901315
"70",6,1,57729.27063451
"71",4,1,22849.41323531
"72",7,1,66229.54680538
"73",3,1,46442.66570615
"74",26,1,31441.26914095
"75",15,1,49826.13845967
"76",6,1,14080.13554603
"77",5,1,67466.42418433
"78",6,2,60914.00203562
"79",9,1,49658.72843135
"80",8,1,16409.04220433
"81",4,1,9999.57128293
"82",5,1,38875.89081275
"83",6,1,11160.18310968
"84",5,1,18444.595218
"85",17,1,87150.19500126
"86",27,1,73713.83416921
"87",2,1,76748.56107201
"88",11,1,9907.86658713
"89",7,1,66790.18159028
"90",11,1,69135.71401594
"91",12,5,29388.70220562
"92",66,3,29388.70220562
"93",0,4,73305.65561205
"94",0,2,2883.70632892
"95",99,2,19795.47647879
"96",66,2,19795.47647879
"97",66,2,19795.47647879
"98",66,2,19795.47647879
"99",14,1,70744.30391613
"100",9,2,19795.47647879
"101",66,2,19795.47647879
"102",66,2,19795.47647879
"103",0,2,5064.96311263
"104",0,2,8850.50659438
