"Year","Month","Species","Severity"
1987.00,6.00,"Black","Severe"
1989.00,7.00,"Grizzly","Severe"
1992.00,5.00,"Black","Severe"
1987.00,7.00,"Grizzly","Severe"
1987.00,9.00,"Grizzly","Severe"
1981.00,9.00,"Grizzly","Severe"
1991.00,8.00,"Grizzly","Severe"
1990.00,9.00,"Grizzly","Severe"
1985.00,8.00,"Grizzly","Severe"
1992.00,8.00,"Grizzly","Severe"
1994.00,6.00,"Black","Severe"
1994.00,8.00,"Grizzly","Severe"
1994.00,9.00,"Black","Severe"
1994.00,6.00,"Black","Severe"
1994.00,10.00,"Grizzly","Severe"
1994.00,8.00,"Grizzly","Severe"
1978.00,8.00,"Grizzly","Severe"
1963.00,6.00,"Grizzly","Severe"
1994.00,10.00,"Grizzly","Severe"
1991.00,8.00,"Grizzly","Severe"
1992.00,5.00,"Grizzly","Severe"
1974.00,1.00,"Grizzly","Severe"
1968.00,10.00,"Grizzly","Severe"
1983.00,5.00,"Grizzly","Severe"
1971.00,10.00,"Unknown","Severe"
1974.00,6.00,"Grizzly","Severe"
1995.00,10.00,"Grizzly","Severe"
1996.00,7.00,"Grizzly","Severe"
1996.00,6.00,"Black","Severe"
1991.00,7.00,"Black","Severe"
1971.00,10.00,"Grizzly","Severe"
1962.00,8.00,"Grizzly","Severe"
1980.00,8.00,"Grizzly","Severe"
1976.00,7.00,"Grizzly","Severe"
1977.00,,"Black","Severe"
1960.00,5.00,"Grizzly","Severe"
1968.00,5.00,"Grizzly","Severe"
1980.00,7.00,"Grizzly","Severe"
1967.00,8.00,"Black","Severe"
1980.00,7.00,"Black","Severe"
1979.00,7.00,"Black","Severe"
1976.00,9.00,"Black","Severe"
1963.00,,"Grizzly","Severe"
1980.00,7.00,"Grizzly","Severe"
1981.00,7.00,"Grizzly","Severe"
1977.00,10.00,"Black","Severe"
1984.00,9.00,"Grizzly","Severe"
1985.00,5.00,"Black","Severe"
1985.00,7.00,"Black","Severe"
1985.00,7.00,"Black","Severe"
1985.00,9.00,"Grizzly","Severe"
1987.00,9.00,"Grizzly","Severe"
1995.00,10.00,"Grizzly","Severe"
1996.00,5.00,"Grizzly","Severe"
1995.00,10.00,"Grizzly","Severe"
1995.00,5.00,"Black","Severe"
1985.00,9.00,"Grizzly","Severe"
1993.00,8.00,"Black","Severe"
1996.00,,"Grizzly","Severe"
1996.00,9.00,"Grizzly","Severe"
1995.00,8.00,"Grizzly","Severe"
1969.00,11.00,"Grizzly","Severe"
1997.00,8.00,"Black","Severe"
1997.00,5.00,"Grizzly","Severe"
1998.00,9.00,"Grizzly","Not Severe"
