"","(Intercept)","log_annual_precip_scaled","log_grizzly_pop_est_scaled","log_humanpop_scaled","mean_annual_temp_scaled","mean_temp_scaled","prev_3yr_conflict_scaled","prev_3yr_scaled","salmon_biomass_geo_mean","total_log_precip_scaled","year_centered","offset(log(gbpu_usable_area))","df","logLik","AICc","delta","weight"
"8",-24.3638484764874,NA,0.63351636825115,-0.0793632754303909,NA,1.14188569407613,0.292943026465965,NA,-0.419286716375,-1.41097940169259,0.0220660359943418,"+",10,-575.347,1171.02186885246,0,0.32437611241996
"4",-24.3572743740528,NA,0.637986096312486,-0.0813880084262679,NA,1.14311906040815,NA,NA,-0.411402686728605,-1.43404398847315,0.0270677508063676,"+",9,-576.982,1172.23185714286,1.20998829039809,0.177134536689767
"5",-24.3629427449038,NA,0.625982130914333,-0.0654117750609085,NA,1.12948341947325,0.282824456893556,-0.111532286796709,-0.43094156889261,-1.39678795402967,0.0211248382399879,"+",11,-575.12,1172.63402985075,1.61216099828721,0.144868029150179
"6",-24.3676629137125,0.246680611121096,0.31574101919793,-0.127813282219714,0.573904871691839,0.785696215593257,0.308054819148764,NA,-0.419702448690812,-1.20186167867566,0.0219361185919102,"+",12,-574.546,1173.558367713,2.53649886054563,0.0912546776500538
"7",-24.3564967149494,NA,0.628703178412232,-0.0634951356739921,NA,1.12635118020164,NA,-0.139140946972979,-0.426830944858405,-1.41548299207645,0.0256793521419344,"+",10,-576.629,1173.58586885246,2.56400000000008,0.0900084615686124
"3",-24.3595992221903,0.286233630289417,0.362633331327236,-0.122488605935162,0.494661470414855,0.834100991444722,NA,NA,-0.41318963509761,-1.32388481577169,0.0269507701015726,"+",11,-576.333,1175.06002985075,4.03816099828714,0.0430698486148315
"1",-24.3667161713554,0.21298070365919,0.304991876925631,-0.115004462851161,0.580015750533299,0.769749272693282,0.298441612949455,-0.111220864742427,-0.430113975956255,-1.15043799417617,0.0211187462404602,"+",13,-574.323,1175.19091017964,4.16904132718173,0.0403415929460277
"15",-24.3431450499844,NA,0.569422003103661,-0.0902380046198059,NA,1.11939056727047,0.282942293804319,NA,NA,-1.35518698917099,0.0251404053934342,"+",9,-579.021,1176.30985714286,5.28798829039806,0.0230556195534032
"2",-24.3588162515736,0.242104570558097,0.346684476035632,-0.106519907161367,0.507167573529231,0.810325692190028,NA,-0.139002543100902,-0.426969606361031,-1.25317396996155,0.0257382748264978,"+",12,-575.985,1176.436367713,5.41449886054556,0.0216423978251199
"16",-24.3380688361706,NA,0.578668304945637,-0.0917988598727068,NA,1.12489605818689,NA,NA,NA,-1.38348347803012,0.0299761145164874,"+",8,-580.49,1177.19396731055,6.17209845809089,0.0148181747986053
"14",-24.3425483790726,NA,0.564597525277736,-0.0820650177790673,NA,1.11178794386418,0.277420641200117,-0.0618039245533882,NA,-1.34671485444316,0.0246657156510834,"+",10,-578.953,1178.23386885246,7.21199999999999,0.00881014310544477
"12",-24.3464624515255,0.107467845924887,0.224458205493765,-0.146025065832673,0.618073348005578,0.735555799398853,0.301202685139505,NA,NA,-0.973657889776631,0.0254809549074308,"+",11,-578.187,1178.76802985075,7.74616099828722,0.00674514633123691
"13",-24.337417470637,NA,0.571625053508374,-0.0799634941503633,NA,1.11339589638823,NA,-0.087762608551817,NA,-1.3706154290816,0.0291722520501618,"+",9,-580.352,1178.97185714286,7.9499882903981,0.00609159247776511
"9",-24.3398078665959,0.152368736778356,0.274042421880366,-0.140512078726059,0.543742236527962,0.785723993476561,NA,NA,NA,-1.10282517998209,0.0303775236961313,"+",10,-579.83,1179.98786885246,8.96600000000012,0.00366527616082869
"10",-24.3458692604868,0.0844886399682228,0.216077621171583,-0.137867774827995,0.623445765563228,0.724003583047302,0.295526304384088,-0.0678370018662484,NA,-0.937864114450713,0.0250411753633744,"+",12,-578.106,1180.678367713,9.65649886054553,0.00259517578203943
"11",-24.3392085575596,0.11942261544225,0.260481970530223,-0.129200644388315,0.554285731976063,0.766878375829219,NA,-0.0938834154863092,NA,-1.04887114929991,0.0296438845755777,"+",11,-579.675,1181.74402985075,10.7221609982871,0.00152321492612539
